Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;6.620520611
sulfathiazole;;2.728571429;3.072533225
sulfamerazine;;1.446153846;1.824204551
sulfacetamide;;1.331868132;1.824204551
sulfaguanidine;;0.442391304;1.824204551
sulfaquinoxaline;;19.30326087;9.109912872
sulfamethoxazole;;6.345652174;6.620520611
testosterone;;15.95913978;13.0704104
prednisone;;3.193548387;4.18179324
estrone;;33.35698925;32.3980805
exemestane;;11.53723404;13.0704104
17-alpha-hydroxyprogesterone acetate;;19.41595745;13.0704104
cortisone;;3.185106383;4.18179324
betamethasone;;7.075531915;4.18179324
dehydroepiandrosterone;;19.3;13.0704104
corticosterone;;4.681914894;4.18179324
norethisterone;;16.71382979;13.0704104
progesterone;;29.96382979;13.0704104
methyl benzoate;;2.666666667;3.072533225
nitrocyclohexane;;1.905208333;2.148235822
anisole;;2.066666667;2.148235822
benzamide;;0.952083333;0.759406194
cumene;;7.367708333;9.109912872
4-dichlorophenol;;11.84583333;9.109912872
nandrolone;;10.375;13.0704104
mesterolone;;30.30208333;13.0704104
 17beta-hydroxy-17-methyl-;;12.55208333;13.0704104
purpurin;;22.71875;15.72924591
ketoprofen;;30.03125;32.3980805
naproxen;;30.40625;32.3980805
ibuprofen;;31.625;32.3980805
testosterone cypionate;;30.46875;32.3980805
testosterone isocaproate;;45;32.3980805
testosterone undecanoate;;36.32291667;32.3980805
Caffeine;;0.35106383;0.759406194
propylparaben;;11.88421053;6.620520611
benzene;;1.694736842;2.148235822
toluene;;2.894736842;2.148235822
1-cloro-4-nitrobenzene;;3.526315789;4.18179324
naphthalene;;10.81052632;15.72924591
3-(2-furyl)acrylic acid;;4.473684211;4.616774004
phthalide;;1.463157895;1.824204551
diphenylmethanol;;5.589473684;4.18179324
m-cresol;;2.652631579;2.148235822
catechol;;1.252631579;0.759406194
4-dihydroxy benzoic acid;;4.884210526;4.616774004
4-hydroxy benzoic acid;;4.957894737;4.616774004
benzyl alcohol;;0.821052632;0.759406194
