Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;7.189720944
sulfathiazole;;2.728571429;6.404441191
sulfamerazine;;1.446153846;6.839115752
sulfacetamide;;1.331868132;6.132185078
sulfadiazine;;1.530769231;6.184977684
sulfaguanidine;;0.442391304;4.971339732
sulfaquinoxaline;;19.30326087;8.780126067
sulfamethoxazole;;6.345652174;7.238217051
testosterone;;15.95913978;13.15362795
prednisone;;3.193548387;12.13667899
estrone;;33.35698925;13.37785526
exemestane;;11.53723404;12.7420059
17-alpha-hydroxyprogesterone acetate;;19.41595745;15.28800422
cortisone;;3.185106383;12.33920456
betamethasone;;7.075531915;12.43982131
dehydroepiandrosterone;;19.3;13.28309436
corticosterone;;4.681914894;12.85547967
norethisterone;;16.71382979;13.25059972
pyridine;;3.085106383;2.97876765
nitrocyclohexane;;1.905208333;5.434658776
anisole;;2.066666667;4.932954215
phenol;;1.61875;4.469969329
benzamide;;0.952083333;4.403011638
cumene;;7.367708333;6.434429717
4-dichlorophenol;;11.84583333;5.49402709
nandrolone;;10.375;12.69067022
 17beta-hydroxy-17-methyl-;;12.55208333;13.18571018
purpurin;;22.71875;8.707335405
ketoprofen;;30.03125;13.13041773
naproxen;;30.40625;12.39323973
ibuprofen;;31.625;12.74102958
aspirin;;6.354166667;7.103056905
ethisterone;;12.35416667;13.71580973
testosterone cypionate;;30.46875;17.19309859
testosterone isocaproate;;45;16.38158265
testosterone undecanoate;;36.32291667;18.57719789
Caffeine;;0.35106383;4.458406285
propylparaben;;11.88421053;9.097651956
benzene;;1.694736842;4.304467516
toluene;;2.894736842;4.981597761
1-cloro-4-nitrobenzene;;3.526315789;5.067423979
naphthalene;;10.81052632;6.416607021
2-ethoxybenzoic acid;;4.947368421;7.281308008
3-(2-furyl)acrylic acid;;4.473684211;5.854137227
phthalide;;1.463157895;4.982989797
diphenylmethanol;;5.589473684;9.104511152
p-benzoquinone;;1.357894737;3.731532438
catechol;;1.252631579;4.267059107
4-dihydroxy benzoic acid;;4.884210526;5.393780102
4-hydroxy benzoic acid;;4.957894737;5.718076838
3-(5-methylfuran-2-yl)-propionic acid;;2.642105263;7.834554927
alpha-resorcylic acid;;9.126315789;5.203050407
pyrogallol;;0.968421053;4.057727669
acetophenone;;1.791666667;5.464153926
propiophenone;;2.9375;6.356575346
butyrophenone;;4.635416667;7.279155786
valerophenone;;7.854166667;8.550420253
7-dihydroxy naphthalene;;12.88541667;7.21146847
4-trimethyl benzene;;7.614583333;6.292690472
gibberellic acid;;1.65625;11.7522877
3-Dioxane;;1.40625;7.807293244
vanillic acid;;4.71875;6.053656589
benzoin methyl ether;;5.96875;9.969816814
diphenyl carbonate;;9.75;9.580309541
trans-2-hexenyl acetate;;2.25;7.787609917
4-tert-butylbenzoic acid;;35.4375;10.53364817
bisphenol A;;53.55208333;11.69841008
BHA (3-tert-Butyl-4-hydroxyanisole);;13.58333333;8.373428951
butyl phenyl ether;;8.947916667;8.084349807
toluic acid;;6.729166667;6.233144594
Sebuthylazine;;6.3125;8.067000214
aldicarb;;1.010416667;6.672100897
