Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;4.049967836
sulfathiazole;;2.728571429;3.779141058
sulfamerazine;;1.446153846;3.886581439
sulfadiazine;;1.530769231;3.570173091
sulfaguanidine;;0.442391304;3.38556012
sulfamethoxazole;;6.345652174;4.317212958
testosterone;;15.95913978;13.57864563
prednisone;;3.193548387;8.117006263
estrone;;33.35698925;13.51545702
exemestane;;11.53723404;11.78540665
17-alpha-hydroxyprogesterone acetate;;19.41595745;11.42542354
cortisone;;3.185106383;8.50258193
betamethasone;;7.075531915;8.559654608
corticosterone;;4.681914894;9.980339387
norethisterone;;16.71382979;12.9725181
progesterone;;29.96382979;13.97038939
pyridine;;3.085106383;2.464141603
methyl benzoate;;2.666666667;3.161254241
nitrocyclohexane;;1.905208333;3.120131336
anisole;;2.066666667;2.728103097
phenol;;1.61875;2.343315896
benzamide;;0.952083333;2.628459469
4-dichlorophenol;;11.84583333;3.733332995
nandrolone;;10.375;12.98673741
mesterolone;;30.30208333;14.3053428
 17beta-hydroxy-17-methyl-;;12.55208333;12.42974577
purpurin;;22.71875;6.959763509
naproxen;;30.40625;9.32451196
ibuprofen;;31.625;10.06417534
aspirin;;6.354166667;4.516448551
ethisterone;;12.35416667;12.94000336
testosterone cypionate;;30.46875;13.82502467
testosterone isocaproate;;45;13.9703534
Caffeine;;0.35106383;3.339142211
benzene;;1.694736842;2.686833117
toluene;;2.894736842;2.771402315
1-cloro-4-nitrobenzene;;3.526315789;3.365765084
naphthalene;;10.81052632;4.332072237
2-ethoxybenzoic acid;;4.947368421;4.487480371
3-(2-furyl)acrylic acid;;4.473684211;3.746449204
diphenylmethanol;;5.589473684;5.737707596
m-cresol;;2.652631579;2.757308598
p-benzoquinone;;1.357894737;2.460018033
catechol;;1.252631579;2.492205056
4-dihydroxy benzoic acid;;4.884210526;4.048656499
benzyl alcohol;;0.821052632;2.546702406
3-(5-methylfuran-2-yl)-propionic acid;;2.642105263;3.991832723
syringic acid;;4.894736842;4.76470048
alpha-resorcylic acid;;9.126315789;4.183082541
pyrogallol;;0.968421053;2.848561879
acetophenone;;1.791666667;2.801221031
propiophenone;;2.9375;3.388178651
butyrophenone;;4.635416667;4.392487828
valerophenone;;7.854166667;6.072727512
hexanophenone;;14.34375;7.149747141
4-tert-butylphenol;;9.072916667;5.696903759
4-trimethyl benzene;;7.614583333;4.19949836
gibberellic acid;;1.65625;7.533830498
3-Dioxane;;1.40625;4.183796438
vanillic acid;;4.71875;4.226602663
benzoin methyl ether;;5.96875;6.381970729
diphenyl carbonate;;9.75;6.269132131
trans-2-hexenyl acetate;;2.25;4.159162226
4-tert-butylbenzoic acid;;35.4375;7.529042464
bisphenol A;;53.55208333;9.377979145
BHA (3-tert-Butyl-4-hydroxyanisole);;13.58333333;6.541257119
butyl phenyl ether;;8.947916667;5.67744047
toluic acid;;6.729166667;3.677705686
equiline;;31.66666667;12.90216676
Sebuthylazine;;6.3125;5.665476356
aldicarb;;1.010416667;3.786677358
MCPB;;21.32291667;8.137102671
indole-3-butyric acid;;11.4375;7.325035026
ATRAZIN-DESETHYL-2-HYDROXY;;1.520833333;3.833001709
mecoprop-P;;45.85416667;6.972327707
cyanazin;;4.9375;5.107731686
ISOPROTURON;;4.729166667;6.308613092
metamitron;;0.78125;4.090052834
alachlor;;5.135416667;6.371485591
3-butanediol diacrylate;;1.541666667;5.010602395
4-dichloro aniline;;3.645833333;3.47200609
7-dimethoxycoumarin;;5.453608247;4.979851038
trans-ferulic acid;;2.948453608;5.043924611
quercetin;;8.721649485;7.021856868
formononetin;;0.886597938;6.668027412
Rutin Hydrate;;9.773195876;8.431015836
(+)-catechin hydrate;;5.690721649;7.308016068
pentoxifylline;;0.927835052;5.543519447
naringin;;7.81443299;8.44877709
(-)-epicatechin;;6.288659794;7.293234597
tert-butylhydroquinone;;10.07216495;5.97875134
propyl gallate;;10.37113402;6.650677426
folinic acid sodium salt;;11.04123711;8.045373399
riboflavin;;0.505154639;6.592788333
L-(+)-ascorbic acid;;0.381443299;3.497164125
hydrochloridethiazide;;4.505154639;4.395145054
5-diphenylhydantoin;;16.92783505;6.65358789
antipyrine;;1.847826087;4.189533698
acetaminophen;;0.979381443;3.396003985
isoeugenol;;6.381443299;4.793304836
eugenol;;4.010309278;4.662297419
