Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;4.182488163
sulfathiazole;;2.728571429;3.889030058
sulfamerazine;;1.446153846;4.11799175
sulfacetamide;;1.331868132;3.456138471
sulfadiazine;;1.530769231;3.785601609
sulfaguanidine;;0.442391304;3.329185422
sulfaquinoxaline;;19.30326087;7.080642404
sulfamethoxazole;;6.345652174;4.572637579
testosterone;;15.95913978;13.07813445
prednisone;;3.193548387;8.120956572
estrone;;33.35698925;12.64184306
exemestane;;11.53723404;11.54714375
17-alpha-hydroxyprogesterone acetate;;19.41595745;12.20653211
cortisone;;3.185106383;8.590121715
betamethasone;;7.075531915;8.727009037
dehydroepiandrosterone;;19.3;13.09891933
corticosterone;;4.681914894;10.03742062
norethisterone;;16.71382979;12.69276934
pyridine;;3.085106383;2.513232811
nitrocyclohexane;;1.905208333;3.045467134
anisole;;2.066666667;2.865173848
phenol;;1.61875;2.427412966
benzamide;;0.952083333;2.741515848
cumene;;7.367708333;4.176568389
4-dichlorophenol;;11.84583333;3.986314268
nandrolone;;10.375;12.33130514
 17beta-hydroxy-17-methyl-;;12.55208333;12.22903979
purpurin;;22.71875;7.502007948
ketoprofen;;30.03125;11.56341517
naproxen;;30.40625;10.86614767
ibuprofen;;31.625;11.16363542
aspirin;;6.354166667;4.822290585
ethisterone;;12.35416667;12.59296098
testosterone cypionate;;30.46875;15.92311033
testosterone isocaproate;;45;15.81258799
testosterone undecanoate;;36.32291667;15.74741044
Caffeine;;0.35106383;3.29124252
propylparaben;;11.88421053;6.993806432
benzene;;1.694736842;2.685768343
toluene;;2.894736842;2.909609307
1-cloro-4-nitrobenzene;;3.526315789;3.511175891
naphthalene;;10.81052632;4.631434213
2-ethoxybenzoic acid;;4.947368421;4.636529269
3-(2-furyl)acrylic acid;;4.473684211;3.850518585
phthalide;;1.463157895;2.939698636
diphenylmethanol;;5.589473684;6.049997737
p-benzoquinone;;1.357894737;2.419834418
catechol;;1.252631579;2.528963389
4-dihydroxy benzoic acid;;4.884210526;4.18521078
4-hydroxy benzoic acid;;4.957894737;3.963903031
3-(5-methylfuran-2-yl)-propionic acid;;2.642105263;4.215055489
alpha-resorcylic acid;;9.126315789;4.261125292
pyrogallol;;0.968421053;2.872432157
acetophenone;;1.791666667;2.904636781
propiophenone;;2.9375;3.437294189
butyrophenone;;4.635416667;4.388670827
valerophenone;;7.854166667;5.856456683
7-dihydroxy naphthalene;;12.88541667;5.67655995
4-trimethyl benzene;;7.614583333;4.288967125
gibberellic acid;;1.65625;8.040645519
3-Dioxane;;1.40625;4.39940286
vanillic acid;;4.71875;4.278984769
benzoin methyl ether;;5.96875;6.906969973
diphenyl carbonate;;9.75;7.046731329
trans-2-hexenyl acetate;;2.25;4.139693957
4-tert-butylbenzoic acid;;35.4375;7.773442699
bisphenol A;;53.55208333;9.933398319
BHA (3-tert-Butyl-4-hydroxyanisole);;13.58333333;6.711621657
butyl phenyl ether;;8.947916667;5.555574196
toluic acid;;6.729166667;3.878974996
Sebuthylazine;;6.3125;6.214865039
aldicarb;;1.010416667;3.907622134
MCPB;;21.32291667;9.401971012
indole-3-butyric acid;;11.4375;8.295823853
ATRAZIN-DESETHYL-2-HYDROXY;;1.520833333;3.948659685
mecoprop-P;;45.85416667;8.292993983
cyanazin;;4.9375;5.651084291
ISOPROTURON;;4.729166667;6.485827702
metamitron;;0.78125;4.195065242
terbutylazine;;9.5625;6.155861793
linuron;;10.71875;6.317432883
alachlor;;5.135416667;6.898252258
3-butanediol diacrylate;;1.541666667;5.353820404
nortriptyline;;2.458333333;7.058716315
4-dichloro aniline;;3.645833333;3.765189078
trans-ferulic acid;;2.948453608;5.449547186
quercetin;;8.721649485;7.804920066
formononetin;;0.886597938;7.246038953
Rutin Hydrate;;9.773195876;9.640609665
(+)-catechin hydrate;;5.690721649;8.005917296
pentoxifylline;;0.927835052;5.810932762
naringin;;7.81443299;9.919990544
(-)-epicatechin;;6.288659794;7.936284553
(+)-catechin;;9.680412371;8.005917296
tert-butylhydroquinone;;10.07216495;6.058014274
folinic acid sodium salt;;11.04123711;10.12583137
riboflavin;;0.505154639;7.21499513
L-(+)-ascorbic acid;;0.381443299;3.452862029
hydrochloridethiazide;;4.505154639;4.643262903
5-diphenylhydantoin;;16.92783505;7.633616765
antipyrine;;1.847826087;4.21303719
acetaminophen;;0.979381443;3.473428594
isoeugenol;;6.381443299;4.866800916
eugenol;;4.010309278;4.594771601
L-(-)-carvone;;2.804123711;3.732127048
vanillin;;1.979381443;3.440139237
(+)-carvone;;2.845360825;3.76343293
geraniol;;4.639175258;5.027755505
camphor;;2.082474227;4.225258947
o-methylanisole;;3.371134021;3.317121776
cinnamyl alcohol;;2.275510204;3.693475131
dimethyl phthalate;;1.886597938;3.931000385
diethyl phthalate;;3.918367347;5.55056119
isopropyl isocyanate;;0.757575758;2.335730737
methylparaben;;3.363636364;3.718376434
ethylparaben;;5.693877551;5.006794914
butylparaben;;19.56565657;7.899002163
cefamandole;;33.05102041;10.90283435
myclobutanil;;12.58762887;8.961896276
fmoc chloride;;0.288659794;6.406454125
(+)-griseofulvin;;9.37755102;8.514631466
hippuric acid;;5.581632653;5.440133645
3-nitrophenol;;3.360824742;3.193810386
thymine;;0.142857143;2.369980107
carbamazepine;;5.142857143;5.884057265
dansyl chloride;;6.826530612;6.308758759
abiraterone;;2.826530612;11.39789781
estriol;;12.51020408;11.41361676
chlorambucil;;24.94897959;10.82238843
2-hydroxypyridine;;0.336734694;2.156199763
piroxicam;;4.673469388;6.547317102
methyl-p-toluene sulfonate;;3.278350515;3.854365703
tropolone;;2.908163265;2.733366244
tropic acid;;1.96969697;4.564347244
thiamethoxam;;0.826530612;4.726682095
4-(dimethylamino)benzoic acid;;3.469387755;4.570145385
