Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;4.419976519
sulfathiazole;;2.728571429;3.931934819
sulfamerazine;;1.446153846;4.344965909
sulfacetamide;;1.331868132;3.834671276
sulfadiazine;;1.530769231;3.934275836
sulfaquinoxaline;;19.30326087;7.124972892
sulfamethoxazole;;6.345652174;4.705667737
testosterone;;15.95913978;14.91299565
prednisone;;3.193548387;9.912023334
estrone;;33.35698925;14.76092653
exemestane;;11.53723404;13.06650127
17-alpha-hydroxyprogesterone acetate;;19.41595745;13.82031661
cortisone;;3.185106383;10.44337972
dehydroepiandrosterone;;19.3;15.3642568
corticosterone;;4.681914894;11.85142773
norethisterone;;16.71382979;13.94969363
progesterone;;29.96382979;16.02907149
pyridine;;3.085106383;2.725177647
methyl benzoate;;2.666666667;3.170683773
nitrocyclohexane;;1.905208333;3.608870612
anisole;;2.066666667;2.806429922
phenol;;1.61875;2.442212678
benzamide;;0.952083333;2.800504976
cumene;;7.367708333;4.245657457
4-dichlorophenol;;11.84583333;3.846541358
nandrolone;;10.375;14.20337899
mesterolone;;30.30208333;16.15963991
 17beta-hydroxy-17-methyl-;;12.55208333;13.57762892
purpurin;;22.71875;7.854742291
ketoprofen;;30.03125;11.94317039
naproxen;;30.40625;11.44907615
ibuprofen;;31.625;11.97297808
aspirin;;6.354166667;4.819293173
ethisterone;;12.35416667;14.05656491
testosterone cypionate;;30.46875;18.65009531
testosterone isocaproate;;45;18.51206625
testosterone undecanoate;;36.32291667;18.33994604
Caffeine;;0.35106383;3.706085778
propylparaben;;11.88421053;7.374277271
benzene;;1.694736842;2.946242876
1-cloro-4-nitrobenzene;;3.526315789;3.510735691
naphthalene;;10.81052632;4.678037896
2-ethoxybenzoic acid;;4.947368421;4.722785823
3-(2-furyl)acrylic acid;;4.473684211;4.035605694
phthalide;;1.463157895;3.004689515
diphenylmethanol;;5.589473684;6.213290058
m-cresol;;2.652631579;2.860066143
p-benzoquinone;;1.357894737;2.681653699
catechol;;1.252631579;2.576180839
4-dihydroxy benzoic acid;;4.884210526;4.161664083
4-hydroxy benzoic acid;;4.957894737;3.94090707
benzyl alcohol;;0.821052632;2.673048757
3-(5-methylfuran-2-yl)-propionic acid;;2.642105263;4.485347456
syringic acid;;4.894736842;4.997884681
pyrogallol;;0.968421053;2.906072649
acetophenone;;1.791666667;2.924450556
propiophenone;;2.9375;3.466168387
butyrophenone;;4.635416667;4.513154564
valerophenone;;7.854166667;6.254966971
hexanophenone;;14.34375;7.505122867
4-tert-butylphenol;;9.072916667;6.057264784
7-dihydroxy naphthalene;;12.88541667;5.763749006
4-trimethyl benzene;;7.614583333;4.54694445
3-Dioxane;;1.40625;4.413431779
vanillic acid;;4.71875;4.295145497
benzoin methyl ether;;5.96875;7.336961201
diphenyl carbonate;;9.75;7.135721485
4-tert-butylbenzoic acid;;35.4375;8.488513408
bisphenol A;;53.55208333;10.82676715
BHA (3-tert-Butyl-4-hydroxyanisole);;13.58333333;7.318694211
toluic acid;;6.729166667;3.786190113
equiline;;31.66666667;14.40183697
Sebuthylazine;;6.3125;6.704692176
aldicarb;;1.010416667;4.614031222
MCPB;;21.32291667;9.763988242
indole-3-butyric acid;;11.4375;8.321025765
ATRAZIN-DESETHYL-2-HYDROXY;;1.520833333;4.39697587
mecoprop-P;;45.85416667;8.412049657
cyanazin;;4.9375;6.076401515
metamitron;;0.78125;4.549114463
terbutylazine;;9.5625;6.709562731
linuron;;10.71875;6.722144204
alachlor;;5.135416667;7.44459302
3-butanediol diacrylate;;1.541666667;5.914257193
nortriptyline;;2.458333333;7.817755273
4-dichloro aniline;;3.645833333;3.719033916
7-dimethoxycoumarin;;5.453608247;5.119716619
trans-ferulic acid;;2.948453608;5.759561097
quercetin;;8.721649485;8.013787352
formononetin;;0.886597938;7.751942896
Rutin Hydrate;;9.773195876;9.676605465
(+)-catechin hydrate;;5.690721649;8.076198824
pentoxifylline;;0.927835052;6.354425814
naringin;;7.81443299;10.42440024
(-)-epicatechin;;6.288659794;8.147282256
(+)-catechin;;9.680412371;8.076198824
tert-butylhydroquinone;;10.07216495;6.39701085
propyl gallate;;10.37113402;7.342085043
folinic acid sodium salt;;11.04123711;10.3087178
riboflavin;;0.505154639;7.4893465
L-(+)-ascorbic acid;;0.381443299;3.698650047
5-diphenylhydantoin;;16.92783505;7.932764408
antipyrine;;1.847826087;4.292124096
eugenol;;4.010309278;4.824756425
L-(-)-carvone;;2.804123711;4.157609996
vanillin;;1.979381443;3.466451834
(+)-carvone;;2.845360825;4.153246928
geraniol;;4.639175258;5.73446849
camphor;;2.082474227;5.021572452
o-methylanisole;;3.371134021;3.282811207
cinnamaldehyde;;2.845360825;3.357259974
cinnamyl alcohol;;2.275510204;3.599451484
dimethyl phthalate;;1.886597938;4.057359564
diethyl phthalate;;3.918367347;5.881704425
isopropyl isocyanate;;0.757575758;2.730238297
ethylparaben;;5.693877551;5.232270452
butylparaben;;19.56565657;8.471824683
cefamandole;;33.05102041;11.09040955
myclobutanil;;12.58762887;9.369596258
fmoc chloride;;0.288659794;6.439195792
(+)-griseofulvin;;9.37755102;8.864653931
hippuric acid;;5.581632653;5.680077889
carbamazepine;;5.142857143;6.297131999
dansyl chloride;;6.826530612;6.439040541
abiraterone;;2.826530612;13.0535472
estriol;;12.51020408;12.74089139
chlorambucil;;24.94897959;11.34744545
piroxicam;;4.673469388;6.698847782
methyl-p-toluene sulfonate;;3.278350515;3.910429507
tropolone;;2.908163265;2.937495433
tropic acid;;1.96969697;4.645220803
PyBOP;;3.252525253;7.831770002
p-toluenesulfonyl isocyanate;;1.643564356;3.679496379
rifampicin;;9;8.005743997
thiamethoxam;;0.826530612;5.105727067
4-(dimethylamino)benzoic acid;;3.469387755;4.729856352
