Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;3.454751
sulfamerazine;;1.446153846;0.99218154
sulfacetamide;;1.331868132;0.8570264
sulfadiazine;;1.530769231;1.0640888
sulfaguanidine;;0.442391304;0.5
sulfaquinoxaline;;19.30326087;13.571664
sulfamethoxazole;;6.345652174;4.4326015
testosterone;;15.95913978;11.787683
prednisone;;3.193548387;2.3615775
estrone;;33.35698925;24.969774
exemestane;;11.53723404;8.18311
17-alpha-hydroxyprogesterone acetate;;19.41595745;14.670279
cortisone;;3.185106383;2.3952231
betamethasone;;7.075531915;5.098704
dehydroepiandrosterone;;19.3;15.396064
norethisterone;;16.71382979;12.799475
progesterone;;29.96382979;22.842985
pyridine;;3.085106383;2.161631
methyl benzoate;;2.666666667;2.179642
nitrocyclohexane;;1.905208333;1.42675
anisole;;2.066666667;1.6313868
phenol;;1.61875;1.2069101
benzamide;;0.952083333;0.69596326
cumene;;7.367708333;6.07061
4-dichlorophenol;;11.84583333;7.131198
nandrolone;;10.375;8.235585
mesterolone;;30.30208333;22.276325
 17beta-hydroxy-17-methyl-;;12.55208333;9.508204
purpurin;;22.71875;14.957649
ketoprofen;;30.03125;22.849466
ibuprofen;;31.625;22.19958
aspirin;;6.354166667;4.506104
ethisterone;;12.35416667;9.5613785
testosterone cypionate;;30.46875;25.435072
testosterone isocaproate;;45;25.98571
testosterone undecanoate;;36.32291667;25.98571
Caffeine;;0.35106383;0.5
propylparaben;;11.88421053;7.2840576
benzene;;1.694736842;1.2649415
toluene;;2.894736842;2.1942973
1-cloro-4-nitrobenzene;;3.526315789;2.7592359
naphthalene;;10.81052632;7.6198845
2-ethoxybenzoic acid;;4.947368421;4.2378936
phthalide;;1.463157895;1.0573449
diphenylmethanol;;5.589473684;4.4682
m-cresol;;2.652631579;2.1577408
p-benzoquinone;;1.357894737;0.9779988
catechol;;1.252631579;0.9179307
4-dihydroxy benzoic acid;;4.884210526;4.1189427
4-hydroxy benzoic acid;;4.957894737;4.1116633
benzyl alcohol;;0.821052632;0.6195085
syringic acid;;4.894736842;4.1443696
alpha-resorcylic acid;;9.126315789;4.9626155
pyrogallol;;0.968421053;0.68934
acetophenone;;1.791666667;1.3859155
propiophenone;;2.9375;2.4308958
butyrophenone;;4.635416667;3.5127387
valerophenone;;7.854166667;6.317451
hexanophenone;;14.34375;8.624326
4-tert-butylphenol;;9.072916667;7.0084515
7-dihydroxy naphthalene;;12.88541667;8.759053
4-trimethyl benzene;;7.614583333;5.963552
gibberellic acid;;1.65625;1.032777
3-Dioxane;;1.40625;1.0426059
vanillic acid;;4.71875;4.086565
benzoin methyl ether;;5.96875;4.726326
trans-2-hexenyl acetate;;2.25;1.7584598
4-tert-butylbenzoic acid;;35.4375;24.55619
butyl phenyl ether;;8.947916667;6.9220138
toluic acid;;6.729166667;4.3443036
equiline;;31.66666667;24.70635
Sebuthylazine;;6.3125;5.0024095
MCPB;;21.32291667;16.948696
indole-3-butyric acid;;11.4375;8.469933
ATRAZIN-DESETHYL-2-HYDROXY;;1.520833333;1.072232
mecoprop-P;;45.85416667;25.293453
ISOPROTURON;;4.729166667;3.4903595
metamitron;;0.78125;0.5330959
terbutylazine;;9.5625;7.0093665
linuron;;10.71875;7.064962
alachlor;;5.135416667;4.0784597
nortriptyline;;2.458333333;1.5387582
4-dichloro aniline;;3.645833333;2.7571692
7-dimethoxycoumarin;;5.453608247;3.9902134
trans-ferulic acid;;2.948453608;2.1941833
quercetin;;8.721649485;6.7558007
formononetin;;0.886597938;0.5689871
Rutin Hydrate;;9.773195876;7.0014124
(+)-catechin hydrate;;5.690721649;5.994288
pentoxifylline;;0.927835052;0.6001627
naringin;;7.81443299;5.9138193
(-)-epicatechin;;6.288659794;5.0028505
(+)-catechin;;9.680412371;5.994288
tert-butylhydroquinone;;10.07216495;7.1942205
propyl gallate;;10.37113402;6.597485
folinic acid sodium salt;;11.04123711;8.013747
riboflavin;;0.505154639;0.50000834
hydrochloridethiazide;;4.505154639;3.371747
5-diphenylhydantoin;;16.92783505;12.344393
antipyrine;;1.847826087;1.4030114
acetaminophen;;0.979381443;0.67111033
isoeugenol;;6.381443299;4.8847213
eugenol;;4.010309278;3.3602767
L-(-)-carvone;;2.804123711;2.2977974
vanillin;;1.979381443;1.5714922
(+)-carvone;;2.845360825;2.287412
geraniol;;4.639175258;3.6518736
camphor;;2.082474227;1.5454831
o-methylanisole;;3.371134021;2.6291423
cinnamaldehyde;;2.845360825;2.2920785
cinnamyl alcohol;;2.275510204;1.8358095
dimethyl phthalate;;1.886597938;1.4015415
diethyl phthalate;;3.918367347;3.1574454
methylparaben;;3.363636364;2.84342
ethylparaben;;5.693877551;4.571413
butylparaben;;19.56565657;15.043426
cefamandole;;33.05102041;20.991737
myclobutanil;;12.58762887;8.199006
fmoc chloride;;0.288659794;0.5
hippuric acid;;5.581632653;4.2471943
3-nitrophenol;;3.360824742;2.7798162
thymine;;0.142857143;0.5
carbamazepine;;5.142857143;3.8703885
dansyl chloride;;6.826530612;5.330279
abiraterone;;2.826530612;1.8606106
estriol;;12.51020408;8.159092
chlorambucil;;24.94897959;20.540106
2-hydroxypyridine;;0.336734694;0.5
piroxicam;;4.673469388;3.2713294
methyl-p-toluene sulfonate;;3.278350515;2.6322002
tropolone;;2.908163265;2.1799984
tropic acid;;1.96969697;1.4979775
PyBOP;;3.252525253;2.367246
p-toluenesulfonyl isocyanate;;1.643564356;1.1809735
rifampicin;;9;6.885238
4-(dimethylamino)benzoic acid;;3.469387755;2.859496
